Entity,year_earliest,Average surface temperature_earliest,year_latest,Average surface temperature_latest,Increase
Afghanistan,1940,11.327695388333334,2025,15.03968565,3.7119902616666653
Africa (NIAID),1940,23.145992333333336,2025,25.208409125,2.0624167916666636
Albania,1940,10.648013975,2025,14.8386057875,4.190591812500001
Algeria,1940,21.310922916666666,2025,25.87884825,4.567925333333335
American Samoa,1940,26.43449658333333,2025,27.1541215,0.7196249166666675
Andorra,1940,3.4092687975,2025,7.353828400625,3.944559603125
Angola,1940,21.409696666666665,2025,21.71325675,0.30356008333333406
Anguilla,1940,25.82170358333333,2025,26.387275625,0.5655720416666696
Antarctica (NIAID),1940,-36.318465249999996,2025,-34.870378875,1.4480863749999955
Antigua and Barbuda,1940,25.82837675,2025,26.428047,0.5996702499999991
Arctic Ocean (NIAID),1940,-9.612340891666667,2025,-6.6311348875,2.9812060041666673
Argentina,1940,13.231750475,2025,14.460803125,1.2290526499999999
Armenia,1940,5.58087815,2025,8.64102215,3.0601439999999993
Asia (NIAID),1940,7.786912710833334,2025,11.5000977375,3.7131850266666673
Australia,1940,22.553228833333332,2025,21.5857616875,-0.9674671458333322
Australia (NIAID),1940,22.554679375000003,2025,21.589584375,-0.9650950000000016
Austria,1940,3.722277033333333,2025,9.02581433,5.303537296666667
Azerbaijan,1940,11.746512945,2025,13.990968360875,2.2444554158750005
Bahamas,1940,25.018078083333336,2025,25.85845075,0.8403726666666635
Bahrain,1940,26.204841666666667,2025,26.222724749999998,0.017883083333330774
Baltic Sea (NIAID),1940,5.131956285,2025,8.35860242,3.226646135
Bangladesh,1940,24.42549425,2025,26.307915125,1.882420875000001
Belarus,1940,3.7972620416666665,2025,9.4823779625,5.685115920833333
Belgium,1940,8.518021740833333,2025,11.953160475,3.4351387341666673
Belize,1940,24.19085425,2025,26.3931925,2.2023382500000004
Benin,1940,26.628304083333333,2025,28.70742475,2.079120666666668
Bhutan,1940,6.447532383333333,2025,9.9796653625,3.5321329791666676
Bolivia,1940,19.24184475,2025,19.86512025,0.6232755000000019
Bosnia and Herzegovina,1940,6.498960370833333,2025,12.88890715,6.389946779166666
Botswana,1940,21.828913166666666,2025,20.2110075,-1.6179056666666654
Brazil,1940,24.232493166666668,2025,24.750168,0.5176748333333308
Brunei,1940,25.019544083333333,2025,26.965118875,1.9455747916666688
Bulgaria,1940,8.821280395,2025,13.34784265125,4.526562256249999
Burkina Faso,1940,28.131020916666667,2025,29.837489750000003,1.7064688333333358
Burundi,1940,19.41231675,2025,21.0944515,1.682134750000003
Cambodia,1940,25.363085166666668,2025,27.694847375,2.3317622083333305
Cameroon,1940,23.77252808333333,2025,25.565516625,1.79298854166667
Canada,1940,-3.9829848749999996,2025,-1.8629034500000001,2.1200814249999995
Cape Verde,1940,22.62873516666667,2025,22.0553735,-0.573361666666667
Cayman Islands,1940,26.493090166666665,2025,27.41754925,0.9244590833333355
Central African Republic,1940,25.176543166666665,2025,27.174887625,1.9983444583333352
Chad,1940,26.0076105,2025,28.706099625,2.698489125000002
Chile,1940,7.88192475,2025,9.094725375,1.2128006249999999
China,1940,6.031047843333333,2025,9.635576075,3.6045282316666665
Colombia,1940,23.053861166666668,2025,24.306204125,1.2523429583333332
Comoros,1940,24.652212916666667,2025,25.622946125,0.970733208333332
Congo,1940,23.978004416666664,2025,25.363316375,1.385311958333336
Cook Islands,1940,23.413826,2025,24.82379925,1.4099732500000002
Costa Rica,1940,22.401516583333333,2025,23.491856249999998,1.0903396666666652
Cote d'Ivoire,1940,25.26747825,2025,27.081102875,1.8136246249999992
Croatia,1940,8.54852425,2025,14.379712662500001,5.831188412500001
Cuba,1940,25.1252685,2025,26.18880575,1.0635372499999995
Cyprus,1940,18.449141166666667,2025,20.023707375,1.5745662083333336
Czechia,1940,5.323707541666667,2025,10.28786395625,4.964156414583333
Democratic Republic of Congo,1940,22.999442666666667,2025,24.934209,1.9347663333333323
Denmark,1940,6.606639166666667,2025,10.1012294875,3.494590320833333
Djibouti,1940,27.321433666666668,2025,29.646006375,2.3245727083333314
Dominican Republic,1940,23.44174191666667,2025,25.019662125,1.5779202083333317
East Timor,1940,23.727920833333332,2025,24.5253875,0.7974666666666685
Ecuador,1940,20.203329083333333,2025,21.20949325,1.006164166666668
Egypt,1940,21.366415916666668,2025,24.157200875,2.790784958333333
El Salvador,1940,25.05853775,2025,27.479564125,2.4210263750000003
Equatorial Guinea,1940,22.570443416666667,2025,24.49540025,1.924956833333333
Eritrea,1940,25.21973475,2025,27.920366625,2.700631874999999
Estonia,1940,3.559741216666667,2025,8.17356005,4.613818833333333
Eswatini,1940,19.721486416666668,2025,19.704167625,-0.01731879166666772
Ethiopia,1940,21.626135,2025,24.399593,2.773457999999998
Europe (NIAID),1940,4.443306933333334,2025,9.1887306,4.745423666666666
Falkland Islands,1940,5.895728774999999,2025,7.1824444875,1.2867157125000004
Faroe Islands,1940,6.8250264750000005,2025,8.2788092125,1.4537827375
Fiji,1940,23.424656416666668,2025,24.99528,1.570623583333333
Finland,1940,0.8325709791666666,2025,5.1824965625,4.3499255833333335
France,1940,11.833533291666667,2025,14.9765595,3.1430262083333336
French Polynesia,1940,25.19098975,2025,25.922167,0.7311772500000018
Gabon,1940,23.477417583333335,2025,24.98712575,1.509708166666666
Gambia,1940,27.321824916666667,2025,28.23207525,0.9102503333333338
Georgia,1940,7.121711808333333,2025,9.60118445,2.479472641666667
Germany,1940,6.586534116666667,2025,11.0478727875,4.4613386708333325
Ghana,1940,26.402003333333337,2025,28.27502675,1.873023416666662
Greece,1940,13.461234408333333,2025,16.5542467125,3.093012304166667
Greenland,1940,-18.981857641666668,2025,-15.777408237500001,3.2044494041666667
Guatemala,1940,21.622384916666665,2025,24.111950874999998,2.4895659583333334
Guinea,1940,24.877666166666668,2025,26.934012625,2.0563464583333335
Guinea-Bissau,1940,26.831332583333335,2025,27.969284625,1.137952041666665
Guyana,1940,24.959511250000002,2025,25.2296485,0.27013724999999766
Haiti,1940,24.332388666666663,2025,25.83473975,1.5023510833333376
Heard Island and McDonald Islands,1940,0.8283767716666667,2025,2.7188186375,1.8904418658333335
Honduras,1940,22.294821583333334,2025,24.594853125,2.300031541666666
Hong Kong,1940,21.748674500000003,2025,23.25622325,1.507548749999998
Hungary,1940,7.979803441666667,2025,13.172418025,5.1926145833333335
Iceland,1940,-0.7802765941666666,2025,3.57997161625,4.360248210416667
India,1940,23.24385716666667,2025,25.305887375,2.062030208333333
Indian Ocean (NIAID,1940,18.078173666666668,2025,19.254013875,1.1758402083333301
Indonesia,1940,24.057742083333334,2025,25.50148325,1.4437411666666655
Iran,1940,17.158098066666668,2025,20.8845625,3.7264644333333337
Iraq,1940,22.070957333333336,2025,24.981578625,2.910621291666665
Ireland,1940,9.505239125000001,2025,11.238008875,1.7327697499999992
Isle of Man,1940,9.359626775,2025,11.002021899999999,1.6423951249999984
Israel,1940,19.17767925,2025,21.314758375,2.1370791249999996
Italy,1940,10.512437916666666,2025,14.920781425000001,4.408343508333335
Jamaica,1940,24.99516675,2025,26.67895175,1.6837850000000003
Japan,1940,9.814068425,2025,13.0951070375,3.2810386124999997
Jordan,1940,18.140294083333334,2025,20.970161375,2.829867291666666
Kazakhstan,1940,7.392183545000001,2025,11.12476167,3.732578124999999
Kenya,1940,23.99648141666667,2025,25.72673925,1.730257833333333
Kiribati,1940,26.62053183333333,2025,26.361396625,-0.2591352083333298
Kosovo,1940,7.452424375,2025,12.909738,5.457313625000001
Kuwait,1940,25.651471333333333,2025,27.820738374999998,2.1692670416666644
Kyrgyzstan,1940,-0.7568254941666667,2025,3.7574423,4.514267794166667
Laos,1940,21.548401166666665,2025,23.62492875,2.076527583333334
Latvia,1940,3.7231431416666667,2025,8.6255093375,4.902366195833334
Lebanon,1940,14.429991175,2025,16.985083325,2.555092150000002
Lesotho,1940,10.55570475,2025,10.810477275,0.2547725249999999
Liberia,1940,24.13864583333333,2025,25.93241,1.7937641666666693
Libya,1940,20.251947416666667,2025,24.170377,3.9184295833333316
Lithuania,1940,4.0012428416666665,2025,9.135142675,5.133899833333334
Luxembourg,1940,7.4029513116666665,2025,11.30451385,3.9015625383333328
Madagascar,1940,21.85628525,2025,22.83082025,0.9745349999999995
Malawi,1940,21.385097833333333,2025,21.421073749999998,0.03597591666666489
Malaysia,1940,24.122986,2025,25.972279874999998,1.8492938749999972
Mali,1940,27.311246083333334,2025,30.3992945,3.088048416666666
Mauritania,1940,25.774333583333334,2025,28.76645025,2.9921166666666643
Mauritius,1940,23.351908499999997,2025,24.345337625,0.9934291250000022
Mediterranean Region (NIAID),1940,17.03867275,2025,18.9320485,1.8933757500000006
Mexico,1940,19.148185958333332,2025,22.04936175,2.9011757916666667
Moldova,1940,7.379510916666667,2025,12.660463762500001,5.280952845833334
Mongolia,1940,0.9150897749999999,2025,5.0241177,4.1090279249999995
Montenegro,1940,6.691075268333333,2025,11.8212905125,5.130215244166666
Morocco,1940,16.672208083333334,2025,20.0021765625,3.3299684791666664
Mozambique,1940,23.709962833333336,2025,23.73258975,0.022626916666663277
Myanmar,1940,21.889891333333335,2025,24.51272175,2.622830416666666
Namibia,1940,20.570926416666666,2025,20.411695875,-0.15923054166666617
Nepal,1940,11.552347066666668,2025,14.774036375,3.221689308333332
Netherlands,1940,8.334183044166666,2025,11.774174025,3.4399909808333344
New Caledonia,1940,21.48117825,2025,23.164892875,1.6837146250000004
New Zealand,1940,9.063536775000001,2025,10.897899425,1.8343626499999992
Nicaragua,1940,24.575076416666665,2025,26.14253075,1.567454333333334
Niger,1940,25.745549083333334,2025,29.24544525,3.499896166666666
Nigeria,1940,26.51187883333333,2025,28.257002375,1.7451235416666684
