Area Code,Area,Anomaly_2010s_C
1,Armenia,1.6572
2,Afghanistan,1.1188
3,Albania,1.5816000000000001
4,Algeria,1.54
5,American Samoa,1.1611
6,Andorra,1.5096
7,Angola,1.0363
8,Antigua and Barbuda,0.7455999999999999
9,Argentina,0.6419
10,Australia,0.9526999999999999
11,Austria,1.8172000000000001
12,Bahamas,0.8507
13,Bahrain,1.9284
14,Barbados,1.0192999999999999
16,Bangladesh,0.8164999999999999
18,Bhutan,1.157
19,Bolivia (Plurinational State of),0.9278000000000001
20,Botswana,0.9715999999999999
21,Brazil,1.3251
22,Aruba,0.9911
23,Belize,1.0092
25,Solomon Islands,1.407
26,Brunei Darussalam,0.9465
27,Bulgaria,1.4461
28,Myanmar,1.0522
29,Burundi,0.628
30,Antarctica,0.6561
32,Cameroon,1.0512000000000001
33,Canada,1.4771
35,Cabo Verde,1.3152000000000001
36,Cayman Islands,0.8076000000000001
37,Central African Republic,1.0248
38,Sri Lanka,1.0231999999999999
39,Chad,1.1803000000000001
40,Chile,0.42919999999999997
41,"China, mainland",1.1541000000000001
42,Christmas Island,0.6972222222222223
43,Cocos (Keeling) Islands,0.7618
44,Colombia,0.9467000000000001
45,Comoros,1.2444
46,Congo,1.0029
47,Cook Islands,0.6952857142857143
48,Costa Rica,0.8186
49,Cuba,0.9591999999999998
50,Cyprus,1.3317
52,Azerbaijan,1.6486
53,Benin,1.1404
54,Denmark,1.3958
55,Dominica,0.8003
56,Dominican Republic,1.1544
57,Belarus,1.8268999999999997
58,Ecuador,1.0528
59,Egypt,1.1666
60,El Salvador,0.8464
61,Equatorial Guinea,1.0464
63,Estonia,1.7460999999999998
64,Faroe Islands,0.8432999999999999
66,Fiji,1.0315999999999999
67,Finland,1.7094
68,France,1.4917
69,French Guiana,1.3334
70,French Polynesia,0.7083999999999999
71,French Southern and Antarctic Territories,0.6677
72,Djibouti,1.3142222222222222
73,Georgia,1.5241
74,Gabon,0.9461999999999999
75,Gambia,1.519
79,Germany,1.5783999999999998
80,Bosnia and Herzegovina,1.6588
81,Ghana,1.0501
82,Gibraltar,1.3885999999999998
83,Kiribati,1.1489
84,Greece,1.2725
85,Greenland,1.5844
86,Grenada,1.0262
87,Guadeloupe,0.7525999999999999
89,Guatemala,0.9190999999999999
90,Guinea,1.2649000000000001
91,Guyana,1.1654
93,Haiti,1.1442
94,Holy See,1.4147
95,Honduras,0.9358000000000001
96,"China, Hong Kong SAR",0.97
97,Hungary,1.7245000000000001
98,Croatia,1.7061
99,Iceland,1.0629
100,India,0.6214999999999999
101,Indonesia,0.7749
102,Iran (Islamic Republic of),1.5989
103,Iraq,1.6169
104,Ireland,0.782
105,Israel,1.1969
106,Italy,1.4883
107,Côte d'Ivoire,1.1065
108,Kazakhstan,1.3334
109,Jamaica,1.1494
110,Japan,0.8
112,Jordan,1.3327
113,Kyrgyzstan,1.2672
114,Kenya,1.1997
115,Cambodia,0.9327
116,Democratic People's Republic of Korea,0.9511
117,Republic of Korea,0.788
118,Kuwait,1.9247
119,Latvia,1.7033
120,Lao People's Democratic Republic,1.0846
121,Lebanon,1.4212
122,Lesotho,0.9709
123,Liberia,1.1412
124,Libya,1.2108
125,Liechtenstein,1.7038
126,Lithuania,1.687
127,Marshall Islands,0.3255
128,"China, Macao SAR",0.97
129,Madagascar,1.0211999999999999
130,Malawi,1.238
131,Malaysia,1.0470000000000002
132,Maldives,0.7572
133,Mali,1.1101
134,Malta,1.4078
135,Martinique,0.8194000000000001
136,Mauritania,1.4122
137,Mauritius,1.078
138,Mexico,1.0171
140,Monaco,1.5138
141,Mongolia,1.4791
142,Montserrat,0.7455999999999999
